UNIT NAME,UNIT CODE,SETTLEMENT POINT NAME,FUEL,ZONE,YEAR,CAPACITY
FARMERS BRANCH LANDFILL GAS TO ENERGY,DG_HBR_2UNITS,#N/A,BIOMASS,NORTH,2011,3.2
GRAND PRAIRIE LFG,DG_TRIRA_1UNIT,#N/A,BIOMASS,NORTH,2015,4
NELSON GARDENS LFG,DG_78252_4UNITS,#N/A,BIOMASS,SOUTH,2013,4.2
WM RENEWABLE-AUSTIN LFG,DG_SPRIN_4UNITS,#N/A,BIOMASS,SOUTH,2007,6.4
WM RENEWABLE-BIOENERGY PARTNERS LFG,DG_BIOE_2UNITS,#N/A,BIOMASS,NORTH,1988,6.2
WM RENEWABLE-DFW GAS RECOVERY LFG,DG_BIO2_4UNITS,#N/A,BIOMASS,NORTH,2009,6.4
WM RENEWABLE-MESQUITE CREEK LFG,DG_FREIH_2UNITS,#N/A,BIOMASS,SOUTH,2011,3.2
WM RENEWABLE-WESTSIDE LFG,DG_WSTHL_3UNITS,#N/A,BIOMASS,NORTH,2010,4.8
AMISTAD HYDRO 1,AMISTAD_AMISTAG1,AMISTAD_ALL,HYDRO,WEST,1983,37.9
AMISTAD HYDRO 2,AMISTAD_AMISTAG2,AMISTAD_ALL,HYDRO,WEST,1983,37.9
AUSTIN HYDRO 1,AUSTPL_AUSTING1,AUSTPL_ALL,HYDRO,SOUTH,1940,8
AUSTIN HYDRO 2,AUSTPL_AUSTING2,AUSTPL_ALL,HYDRO,SOUTH,1940,9
BUCHANAN HYDRO 1,BUCHAN_BUCHANG1,BUCHAN_ALL,HYDRO,SOUTH,1938,16
BUCHANAN HYDRO 2,BUCHAN_BUCHANG2,BUCHAN_ALL,HYDRO,SOUTH,1938,16
BUCHANAN HYDRO 3,BUCHAN_BUCHANG3,BUCHAN_ALL,HYDRO,SOUTH,1950,17
DENISON DAM 1,DNDAM_DENISOG1,DENISON_G1_2,HYDRO,NORTH,1944,49.5
DENISON DAM 2,DNDAM_DENISOG2,DENISON_G1_2,HYDRO,NORTH,1948,49.5
EAGLE PASS HYDRO,EAGLE_HY_EAGLE_HY1,#N/A,HYDRO,SOUTH,2005,9.6
FALCON HYDRO 1,FALCON_FALCONG1,FAL_FALCONG1,HYDRO,SOUTH,1954,12
FALCON HYDRO 2,FALCON_FALCONG2,FAL_FALCONG2,HYDRO,SOUTH,1954,12
