PLANTNAME,PLANTNUMUNITS,NAMEPLATECAPACITY,NODENAME,PRIMARYFUEL,PRIMEMOVER,UNITNAME
Tumbleweed,15,0.6,,Oil,Internal Combustion,TWD9
Valero Refinery Corpus Christi West,4,12.0,,Natural Gas,Steam Turbine,PRU
Valero Refinery Corpus Christi West,4,28.6,,Oil,Steam Turbine,TG1
Valero Refinery Corpus Christi West,4,28.6,,Oil,Steam Turbine,TG2
Vaquero,15,0.6,,Oil,Internal Combustion,VQ1
Vaquero,15,0.6,,Oil,Internal Combustion,VQ10
Vaquero,15,0.6,,Oil,Internal Combustion,VQ11
Vaquero,15,0.6,,Oil,Internal Combustion,VQ12
Vaquero,15,0.6,,Oil,Internal Combustion,VQ13
Vaquero,15,0.6,,Oil,Internal Combustion,VQ14
Vaquero,15,0.6,,Oil,Internal Combustion,VQ15
Vaquero,15,0.6,,Oil,Internal Combustion,VQ2
Vaquero,15,0.6,,Oil,Internal Combustion,VQ3
Vaquero,15,0.6,,Oil,Internal Combustion,VQ4
Vaquero,15,0.6,,Oil,Internal Combustion,VQ5
Vaquero,15,0.6,,Oil,Internal Combustion,VQ6
Vaquero,15,0.6,,Oil,Internal Combustion,VQ7
Vaquero,15,0.6,,Oil,Internal Combustion,VQ8
Vaquero,15,0.6,,Oil,Internal Combustion,VQ9
Verizon Hidden Ridge Solar Project,3,1.0,,Solar,Photovoltaic,VH600
Verizon Hidden Ridge Solar Project,3,1.1,,Solar,Photovoltaic,VH700
Verizon Hidden Ridge Solar Project,3,0.8,,Solar,Photovoltaic,VH750
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC1
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC10
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC11
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC12
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC13
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC14
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC15
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC2
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC3
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC4
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC5
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC6
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC7
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC8
Villa Cavasos,15,0.6,,Oil,Internal Combustion,VC9
Village Creek Water Reclamation Facility,5,5.3,,Natural Gas,Gas Turbine,TG1
Village Creek Water Reclamation Facility,5,5.3,,Natural Gas,Gas Turbine,TG2
WAL1040,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL1040,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL1040,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL1062,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL1062,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL1062,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL1103,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL1103,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL1103,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL1232,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL1232,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL1232,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL1272,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL1272,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL1272,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL1455,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL1455,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL1455,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL194,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL194,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL194,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL202,1,1.3,,Oil,Internal Combustion,GEN1
WAL2257,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2257,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2257,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL2439,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2439,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2439,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL266,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL266,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL266,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL2667,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2667,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2667,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL2724,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2724,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2724,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL284,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL284,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL284,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL2883,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2883,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2883,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL2980,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2980,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2980,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL2993,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL2993,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL2993,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3224,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3224,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3224,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3226,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3226,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3226,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3284,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3284,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3284,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3285,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3285,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3285,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3297,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3297,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3297,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3298,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3298,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3298,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3302,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3302,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3302,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3320,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3320,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3320,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3390,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3390,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3390,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3406,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3406,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3406,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3425,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3425,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3425,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3432,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3432,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3432,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3500,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3500,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3500,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3510,1,1.3,,Natural Gas,Internal Combustion,GEN1
WAL3518,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3518,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3518,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3572,1,1.3,,Natural Gas,Internal Combustion,GEN1
WAL3584,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3584,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3584,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3631,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3631,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3631,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3773,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3773,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3773,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3777,1,1.3,,Oil,Internal Combustion,GEN1
WAL3827,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3827,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3827,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL3886,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL3886,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL3886,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL407,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL407,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL407,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL414,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL414,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL414,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL4298,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL4298,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL4298,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL447,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL447,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL447,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL4509,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL4509,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL4509,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL4512,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL4512,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL4512,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL452,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL452,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL452,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL4526,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL4526,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL4526,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL4538,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL4538,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL4538,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL456,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL456,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL456,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL461,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL461,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL461,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL462,1,1.3,,Natural Gas,Internal Combustion,GEN1
WAL504,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL504,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL504,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5045,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5045,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5045,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5080,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5080,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5080,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5091,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5091,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5091,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5116,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5116,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5116,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5165,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5165,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5165,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5211,1,1.3,,Oil,Internal Combustion,GEN1
WAL522,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL522,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL522,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5287,3,0.4,,Natural Gas,Internal Combustion,GE N3
WAL5287,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5287,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL529,1,1.3,,Natural Gas,Internal Combustion,GEN1
WAL5311,1,1.3,,Oil,Internal Combustion,GEN1
WAL5312,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5312,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5312,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5316,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5316,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5316,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL536,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL536,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL536,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL537,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL537,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL537,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5388,1,1.3,,Natural Gas,Internal Combustion,GEN1
WAL546,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL546,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL546,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5479,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5479,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5479,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5480,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5480,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5480,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5612,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5612,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5612,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL565,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL565,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL565,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5713,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5713,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5713,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL5764,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL5764,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL5764,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL602,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL602,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL602,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL6929,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL6929,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL6929,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL744,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL744,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL744,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL752,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL752,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL752,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL768,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL768,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL768,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL772,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL772,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL772,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL791,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL791,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL791,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL849,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL849,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL849,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL872,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL872,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL872,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL896,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL896,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL896,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL897,1,1.3,,Natural Gas,Internal Combustion,GEN1
WAL940,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL940,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL940,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL947,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL947,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL947,3,0.4,,Natural Gas,Internal Combustion,GEN3
WAL972,3,0.4,,Natural Gas,Internal Combustion,GEN1
WAL972,3,0.4,,Natural Gas,Internal Combustion,GEN2
WAL972,3,0.4,,Natural Gas,Internal Combustion,GEN3
Walnut Springs Solar,1,5.0,,Solar,Photovoltaic,GEN1
West Moore Solar II,1,5.0,,Solar,Photovoltaic,GEN1
Westhollow Technology Center,1,3.7,,Natural Gas,Gas Turbine,1
Westover,15,0.6,,Oil,Internal Combustion,WSI1
Westover,15,0.6,,Oil,Internal Combustion,WSI10
Westover,15,0.6,,Oil,Internal Combustion,WSI11
Westover,15,0.6,,Oil,Internal Combustion,WSI12
Westover,15,0.6,,Oil,Internal Combustion,WSI13
Westover,15,0.6,,Oil,Internal Combustion,WSI14
Westover,15,0.6,,Oil,Internal Combustion,WSI15
Westover,15,0.6,,Oil,Internal Combustion,WSI2
Westover,15,0.6,,Oil,Internal Combustion,WSI3
Westover,15,0.6,,Oil,Internal Combustion,WSI4
Westover,15,0.6,,Oil,Internal Combustion,WSI5
Westover,15,0.6,,Oil,Internal Combustion,WSI6
Westover,15,0.6,,Oil,Internal Combustion,WSI7
Westover,15,0.6,,Oil,Internal Combustion,WSI8
Westover,15,0.6,,Oil,Internal Combustion,WSI9
Westside Landfill Gas Recovery,3,1.6,,Renewable,Internal Combustion,GEN1
Westside Landfill Gas Recovery,3,1.6,,Renewable,Internal Combustion,GEN2
Whitesboro Solar,1,5.0,,Solar,Photovoltaic,GEN1
Whitesboro Solar II,1,5.0,,Solar,Photovoltaic,GEN1
Whitewright Solar,1,10.0,,Solar,Photovoltaic,GEN1
Yellow Jacket,1,5.0,,Solar,Photovoltaic,GEN1
